name,season,number,airdate,runtime,rating,summary,image_url
The One Where They're Up All Night,7,12,1/11/2001,30,{'average': 9},"Ross assembles the gang on the roof to watch a meteor shower. They all decide to leave, however, Ross becomes trapped on the roof with Joey; the two try to escape using the fire escape. Rachel and Tag argue over which one of them forgot to send a package at work. Phoebe's fire alarm won't stop beeping. Chandler and Monica can't seem to fall asleep together, so they keep waking each other up.",https://image.tmdb.org/t/p/original/q1lnv5Nar6WIxbrQo5cV7P8YAeU.jpg
The One Where Rosita Dies,7,13,2/1/2001,30,{'average': 9},"In an attempt to make up for her slow massage business, Phoebe takes a job as a telemarketer for an office supply company. When her first call is to a despondent office manager, she takes it upon herself to convince him to not kill himself. Monica and Ross discover that their parents are selling their house. While attempting to re-arrange the furniture, Rachel breaks Joey's favorite chair (that he's named Rosita).",https://image.tmdb.org/t/p/original/oeur7OVIlBZpNXKl4cgsPFQnVJ7.jpg
The One Where They All Turn Thirty,7,14,2/8/2001,30,{'average': 9.5},"When Rachel turns 30, the gang reminisces about their 30th birthdays. While trying to patch things up with Ursula, Phoebe discovers that she is 31. Ross buys a sports car to look cool. Monica gets drunk in front of her parents.",https://image.tmdb.org/t/p/original/eghy8EUnsmH6w6vEMAV2Ug18GXn.jpg
The One With Joey's New Brain,7,15,2/15/2001,30,{'average': 8.8},Ross plans a surprise for Monica and Chandler's wedding -- he wants to play the bagpipes. Dr. Drake Ramoray is coming out of his coma on Days of Our Lives. A diva will be killed off and her character's brain will be transplanted into Drake's. Phoebe and Rachel fight over a guy who left his cell phone in Central Perk.,https://image.tmdb.org/t/p/original/jCJg30mOZFUUjAdig3aeSbXL7VW.jpg
The One With the Truth About London,7,16,2/22/2001,30,{'average': 9.1},Chandler becomes upset after learning that Monica only came to his room in London looking for Joey on the first night they were together. Joey is ordained as a minister through the Internet so that he can officiate the wedding. Phoebe becomes upset after taking headache medicine. Ross becomes upset after a baby-sitting Rachel teaches Ben how to play pranks.,https://image.tmdb.org/t/p/original/tfsPxEQ5cmpg4pEDAWssR3TW489.jpg
The One With the Cheap Wedding Dress,7,17,3/15/2001,30,{'average': 8.9},"Monica regrets telling a woman about a discount bridal shop when they end up fighting over the same dress. Meanwhile, Joey and Ross discover that they're dating the same girl.",https://image.tmdb.org/t/p/original/6EdqJXkjEaoN09otW5e0Q3fchIl.jpg
The One With Joey's Award,7,18,3/29/2001,30,{'average': 8.9},"Joey is nominated for a Soapie Award, and will go to any length to get the award. He loses, but he steals a trophy from one of his co-stars (Jessica) who doesn't appreciate the award. One of Ross's students convinces him that he failed his midterm because he's in love with Ross. When a guy hits on Phoebe instead of her, Monica realises that Chandler is the only one left in her life to kiss, sleep with, and so on.",https://image.tmdb.org/t/p/original/7j4ammK2F5K9pmyLh946m1eIhOF.jpg
The One With Ross and Monica's Cousin,7,19,4/19/2001,30,{'average': 9.1},"Joey auditions for a big movie role which will require him to appear naked. A problem arises, however, when the part calls for an uncircumcised man. Rachel and Phoebe plan Monica's wedding shower at the last minute. Ross and Monica's cousin visits and Ross becomes attracted to her for some reason.",https://image.tmdb.org/t/p/original/ikhwogIjntfhWquuOfxdJwg8GHL.jpg
The One With Rachel's Big Kiss,7,20,4/26/2001,30,{'average': 9.1},"Rachel's friend, Melissa, from college shows up at the coffee house which brings back memories of their ""closer"" days. Then when Melissa can't remember that special night in their senior year, Rachel goes to great lengths to prove to Phoebe that there was really a kiss. Meanwhile, Chandler and Ross argue for possession of Val Kilmer's tuxedo. Also, Joey drives Monica crazy when he insists that the wedding be arranged around his parents' schedule.",https://image.tmdb.org/t/p/original/xh9Wk6wyQDza7mKVc39wGcjGDRb.jpg
The One With the Vows,7,21,5/3/2001,30,{'average': 8.5},"With four weeks left before the wedding, Chandler and Monica are faced with the issue of their wedding vows. With each person dealing with their own problems in writing the vows, they turn to memories of past events to help them.",https://image.tmdb.org/t/p/original/kgLt31d0oEed39CIkw3lsO4EZ9c.jpg
