name,season,number,airdate,runtime,rating,summary,image_url
Did I Stutter?,4,16,5/1/2008,30,{'average': 8},Michael has to deal with Stanley's open insubordination at a meeting.,
Job Fair,4,17,5/8/2008,30,{'average': 7.7},"Michael, Pam, Darryl and Oscar attend a job fair; Jim, Kevin and Andy play a round of golf with a perspective client.",
"Goodbye, Toby (1)",4,18,5/15/2008,30,{'average': 8.3},Michael becomes infatuated with the woman replacing Toby; Jim plan to propose to Pam is upstaged by Andy; Michael gets a surprise from Jan.,
"Goodbye, Toby (2)",4,19,5/15/2008,30,{'average': 8.9},Michael becomes infatuated with the woman replacing Toby; Jim plan to propose to Pam is upstaged by Andy; Michael gets a surprise from Jan.,
Weight Loss (1),5,1,9/25/2008,30,{'average': 8.3},The office staff goes to extremes when they participate in a weight loss contest run by corporate.,https://image.tmdb.org/t/p/original/8mw057Hbn0HS3rBzfsFc35t2iR6.jpg
Weight Loss (2),5,2,9/25/2008,30,{'average': 8.2},The office staff goes to extremes when they participate in a weight loss contest run by corporate.,https://image.tmdb.org/t/p/original/uHFPX3pK2jtcViZLED1esrKUZvj.jpg
Business Ethics,5,3,10/9/2008,30,{'average': 7.6},Holly has to run an ethics meeting which leads to Meredith revealing an unethical situation. ,https://image.tmdb.org/t/p/original/4DX8TGWgUEOHGwyTvk9nIccEKOo.jpg
Baby Shower,5,4,10/16/2008,30,{'average': 7.8},Michael insists the office throw Jan a baby shower even though he is not the father of her baby.,https://image.tmdb.org/t/p/original/cbejmeN917TiKzQqrMM3dAXdyhA.jpg
Crime Aid,5,5,10/23/2008,30,{'average': 8},Michael arranges for a fundraiser when the office is burglarized. ,https://image.tmdb.org/t/p/original/bLkVxENgm59zmhFgTYnLFQz9Jv6.jpg
Employee Transfer,5,6,10/30/2008,30,{'average': 8},"After corporate finds out about Michael and Holly's relationship, they transfer Holly back to New Hampshire.",https://image.tmdb.org/t/p/original/toJgBHy74SpFHwxO55b02BVvYLr.jpg
Customer Survey,5,7,11/6/2008,30,{'average': 8.3},Jim and Dwight are surprised by their low customer survey scores.,https://image.tmdb.org/t/p/original/f374XAvIBxHMEF6nqIVkplyL1mP.jpg
Business Trip,5,8,11/13/2008,30,{'average': 8.2},Andy and Oscar accompany Michael on a business trip to Canada; Pam gets bad news about her art class.,https://image.tmdb.org/t/p/original/H2Lf4IZDDLqaSdTfa8qcvsS550.jpg
Frame Toby,5,9,11/20/2008,30,{'average': 8.7},Michael attempts to frame Toby when he returns to the office; Jim surprises Pam by purchasing his parents house.,https://image.tmdb.org/t/p/original/xNONDn7SGP4k4gmAwn2lQfIotfu.jpg
The Surplus,5,10,12/4/2008,30,{'average': 8.2},The office argues over what to buy with a surplus; Dwight tricks Angela.,https://image.tmdb.org/t/p/original/2w8SRRHbHiGIf7Uxr56W6oxfftQ.jpg
Moroccan Christmas,5,11,12/11/2008,30,{'average': 8.2},Michael turns the Office Christmas Party into an intervention for Meredith; Dwight makes money off of a popular children's toy.,https://image.tmdb.org/t/p/original/7Mfu31Ah9fyxLYLajdra9Pl4kKX.jpg
The Duel,5,12,1/15/2009,30,{'average': 7.9},Andy finally finds out about Dwight and Angela; Michael is called to corporate to discuss the branch's success.,https://image.tmdb.org/t/p/original/2kwJKmCJ07GIE2z2luqCI26qS1j.jpg
Prince Family Paper,5,13,1/22/2009,30,{'average': 8.8},Michael does research on a local family run company the Dunder Mifflin wants to buy out; The office debates the hotness of Hilary Swank.,https://image.tmdb.org/t/p/original/vOW6G304cwyT7Uh2d31y8IHR4IN.jpg
Stress Relief (1),5,14,2/1/2009,30,{'average': 8},Dwight takes things to far during his fire drill.,https://image.tmdb.org/t/p/original/gXzpQoTWv2a4OhNoOloDYQe8lhl.jpg
Stress Relief (2),5,15,2/1/2009,30,{'average': 7.7},Michael realizes he is what is causing people to stress out in the office so he arranges a roast.,https://image.tmdb.org/t/p/original/7fpiETDqoMLPkgiRr8IOAfHdogU.jpg
Lecture Circuit (1),5,16,2/5/2009,30,{'average': 8.4},Pam accompanies Michael on a lecture circuit at other branches where they discover Karen is pregnant; Andy becomes infatuated with Stanley's client.,https://image.tmdb.org/t/p/original/x5RaXCvLqTV5ZOQSRWvCZTTRQfw.jpg
Lecture Circuit (2),5,17,2/12/2009,30,{'average': 8.4},Michael and Pam head to Nashua so Michael can find closure with Holly.,https://image.tmdb.org/t/p/original/hjnpmrkdcgrEWtMDqOdQZYUOA4q.jpg
Blood Drive,5,18,3/5/2009,30,{'average': 7.9},"After a missed opportunity at a blood drive, Michael throws a Lonely Hearts Valentine's Day party; Jim and Pam go a double date with Bob and Phyllis.",https://image.tmdb.org/t/p/original/6xiGAjBUZDjx9sgefA9118l4sN1.jpg
Golden Ticket,5,19,3/12/2009,30,{'average': 8},Michael's idea to hide golden tickets in shipments backfires and Michael asks Dwight to take the heat.,https://image.tmdb.org/t/p/original/9PJhRC5SMXQlThatNMTf5ou4NPx.jpg
New Boss,5,20,3/19/2009,30,{'average': 8.1},The new supervisor clashes with Michael.,https://image.tmdb.org/t/p/original/jdTNwsxyR63FpEgSJ0LlmQTcOCM.jpg
Two Weeks,5,21,3/26/2009,30,{'average': 8.1},Michael decides to start his own paper company after giving his two week's notice.,https://image.tmdb.org/t/p/original/na2gN5eXk1MwNbBWDZmsJRLbtGX.jpg
Dream Team,5,22,4/9/2009,30,{'average': 8.4},Michael and Pam set out to build their new company.,https://image.tmdb.org/t/p/original/lcUj8ZNGC3agExI7bjS0F6tN3Kz.jpg
The Michael Scott Paper Company,5,23,4/9/2009,30,{'average': 8.6},"Tensions run high between Michael, Pam and Ryan as they try to get the new company off the ground; Charles asks Jim to complete a task.",https://image.tmdb.org/t/p/original/jOAVA3EHX9cJZWZpaDVkbZhBd9c.jpg
Heavy Competition,5,24,4/16/2009,30,{'average': 8.3},Michael and Dwight wag war over clients; Jim pretends to confide in Andy.,https://image.tmdb.org/t/p/original/3FDbAunlvUBvmJa8b8dxAyk9Lin.jpg
Broke,5,25,4/23/2009,30,{'average': 8.8},The Michael Scott Paper Company runs into financial trouble but Dunder Mifflin is worried about the clients they are losing.,https://image.tmdb.org/t/p/original/bx0J1oSJNxtMVuYfdAUGfWzH1zk.jpg
Casual Friday,5,26,4/30/2009,30,{'average': 8.4},"Michael, Pam and Ryan return to Dunder Mifflin; Some staff takes casual Friday too far; The other sales people are upset that they are not getting their clients back.",https://image.tmdb.org/t/p/original/zMpnRyb5DAnizp5UHmLT94Afru1.jpg
Cafe Disco,5,27,5/7/2009,30,{'average': 8.8},Michael tries to create a disco in his old Michael Scott Paper Company office.,
Company Picnic,5,28,5/14/2009,30,{'average': 8.8},The staff attend the Dunder Mifflin company picnic.,
Gossip,6,1,9/17/2009,30,{'average': 8.1},Michael accidentally reveals that Stanley is having an affair so he makes up a bunch of other rumors to divert people's attention.,https://image.tmdb.org/t/p/original/fOrz8sRTp2VCLeHNa0Z984DDZqo.jpg
The Meeting,6,2,9/24/2009,30,{'average': 8},Michael attempts to sabotage Jim's efforts at a promotion. ,https://image.tmdb.org/t/p/original/i6ShaUbd4F9sQqfKfs2zQuHXGmI.jpg
The Promotion,6,3,10/1/2009,30,{'average': 7.5},Michael and Jim have to decide who is getting a raise and who is not.,https://image.tmdb.org/t/p/original/aQcBZoTjrScKTeBshUcs5OFNyUu.jpg
Niagara (1),6,4,10/8/2009,30,{'average': 9},The office staff head to Niagara Falls for Jim and Pam's wedding.,https://image.tmdb.org/t/p/original/dMRxj9BYrcmHMsvLwbC6IIoJ5QJ.jpg
